year,country,country_code,value
2018,Albania,ALB,20.44800014
2018,Algeria,DZA,19.90866674
2018,Angola,AGO,24.36600024
2018,Argenti,ARG,13.21766662
2018,Australia,AUS,22.70550008
2018,Bangladesh,BGD,27.61285714
2018,Barbados,BRB,27.40249987
2018,Belize,BLZ,28.12399979
2018,Benin,BEN,27.20600014
2018,Bosnia and Herzegovi,BIH,19.7920002
2018,Brazil,BRA,26.73349981
2018,Bulgaria,BGR,18.15111113
2018,Cabo Verde,CPV,23.68500015
2018,Cada,CAN,10.77111099
2018,Cameroon,CMR,28.06699963
2018,Chi,CHN,20.84428566
2018,Chile,CHL,16.19857141
2018,Comoros,COM,27.91999989
2018,Cook Islands,COK,26.26200027
2018,Cuba,CUB,28.07399969
2018,Djibouti,DJI,27.95200005
2018,Dominica,DMA,27.34499989
2018,Dominican Republic,DOM,27.36733348
2018,Ecuador,ECU,26.74200001
2018,El Salvador,SLV,29.33299999
2018,Equatorial Guinea,GNQ,27.87700024
2018,Estonia,EST,12.37058823
2018,Fiji,FJI,27.41799994
2018,Finland,FIN,11.92999998
2018,Germany,DEU,11.32799993
2018,Greece,GRC,20.8409997
2018,Guatemala,GTM,29.75599995
2018,Haiti,HTI,27.47650003
2018,Honduras,HND,28.72733307
2018,Indonesia,IDN,29.16899986
2018,"Iran, Islamic Republic of",IRN,20.9314283
2018,Italy,ITA,19.94879986
2018,Jamaica,JAM,28.04733327
2018,Kenya,KEN,27.49699993
2018,Kuwait,KWT,26.34599991
2018,Malta,MLT,20.94199991
2018,Mauritania,MRT,21.7170002
2018,mibia,M,16.37399985
2018,Myanmar,MMR,29.12687504
2018,Netherlands,NLD,13.6833334
2018,Nicaragua,NIC,28.0874999
2018,Nigeria,NGA,27.86199989
2018,Norway,NOR,9.113333314
2018,Oman,OMN,26.02119987
2018,Pakistan,PAK,27.19133339
2018,Peru,PER,22.02600021
2018,Philippines,PHL,29.01799984
2018,Portugal,PRT,16.73100004
2018,Qatar,QAT,27.26800016
2018,Republic of Korea,KOR,18.43750007
2018,Saint Kitts and Nevis,K,27.19200001
2018,Saudi Arabia,SAU,27.61159988
2018,Senegal,SEN,23.49200007
2018,Spain,ESP,18.10266679
2018,Surime,SUR,27.61499996
2018,Trinidad and Tobago,TTO,27.50599985
2018,Tuvalu,TUV,29.59500008
2018,United Arab Emirates,ARE,28.21350002
2018,United Kingdom of Great Britain and Northern Ireland,GBR,10.55199996
